title,price,rating,reviews_count,free_delivery,deal_badge,amoled,hd_display,lcd,oled,gps,bluetooth,calling,alexa,heart_rate,spo2,sleep,blood_oxygen,sports,fitness_tracker,step_counter,waterproof,ip68,ip67,5atm,men,women,kids,short_name,price_segment,is_popular
"noise twist go round dial smartwatch with bt calling, 1.39"" display, metal build, 100+ watch faces, ip68, sleep tracking, 100+ sports modes, 24/7 heart rate monitoring (rose pink)",1599.0,4.0,1300.0,True,,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,noise twist go round dial,Budget,1
"goboult drift+ smart watch 1.85''hd screen, bluetooth calling, ip68, 500 nits brightness,150+ watchfaces, ai voice assistant, spo2 monitoring, 100+ sports smartwatch (black coffee)",1199.0,4.0,717.0,True,,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,goboult drift+ smart watch 1.85''hd,Budget,0
"fire-boltt talk round smart watch 1.39″ tft display with bluetooth calling, dual button, voice assistance, spo₂ & heart rate monitor, 120+ sports modes, smartwatch for men & women - black",1099.0,4.0,60100.0,True,,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,fire-boltt talk round smart watch,Budget,1
"fastrack limitless glide x 1.83"" smart watch with ultra uv hd display, spo2, heart rate & sleep tracking, bluetooth calling, 100+ sports modes, 5-day battery, smartwatch for men & women (blue)",1299.0,3.9,337.0,True,,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,"fastrack limitless glide x 1.83""",Budget,0
"fire-boltt talk round smart watch 1.39″ tft display with bluetooth calling, dual button, voice assistance, spo₂ & heart rate monitor, 120+ sports modes, smartwatch for men & women - beige",1099.0,4.0,60100.0,True,Limited time deal,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,fire-boltt talk round smart watch,Budget,1
"amazfit gtr 3 pro (smartchoice) 46mm smart watch with bt phone calls, bp monitoring, 1.45”amoled display, 24/7 hr tracking, alexa, gps, wifi, 12-day battery life,150 sports modes(infinite black)",9999.0,3.9,1600.0,True,,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,amazfit gtr 3 pro (smartchoice),Premium,0
"fastrack new limitless x2 smart watch, 1.91"" ultravu with rotating crown, 60 hz refresh rate, advanced chipset, singlesync bt calling, 100+ sports mode & smartwatch faces, ip68, (black)",1699.0,4.0,2400.0,True,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,fastrack new limitless x2 smart,Budget,1
"fastrack astor fr2 pro 1.43"" amoled stainless steel smart watch with spo2, heart rate, bt calling, adaptive aod, functional crown, ai voice assistant – smartwatch for stylish professionals (black)",3499.0,4.2,1100.0,True,,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"fastrack astor fr2 pro 1.43""",Mid-Range,1
"oneplus watch 2 with wear os 4,snapdragon w5 chipset,upto 100hrs battery life,1.43’’ amoled display, stainless steel & sapphire crystal build,dual frequency gps, 5 atm, ip68 & bt calling (black steel)",14499.0,4.4,738.0,True,,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,oneplus watch 2 with wear,Premium,0
"noise colorfit pulse 3 with 1.96"" biggest display bluetooth calling smart watch, premium build, auto sport detection & 170+ watch faces smartwatch for men & women - midnight black",1499.0,3.9,5100.0,True,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,noise colorfit pulse 3 with,Budget,0
"titan celestor 1.43"" amoled smart watch with built-in gps, advanced health intelligence, ai voice assistant, aluminium case, 100+ sports modes, water resistance – smartwatch for men & women (blue)",9995.0,4.0,411.0,True,,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,"titan celestor 1.43"" amoled smart",Premium,0
